text,label
insert - [java.lang.Object] - void - [PriorityQueue:swim],3
getMax - [] - java.lang.Object - [PriorityQueue:sink],0
swim - [int] - void - [PriorityQueue:swap],0
sink - [int] - void - [PriorityQueue:swap],0
print - [] - void - [java.io.PrintStream:print  java.io.PrintStream:println],0
main - [java.lang.String[]] - void - [PriorityQueue:getPriority  PriorityQueue:insert  PriorityQueue:print  PriorityQueue:getPriority  PriorityQueue:insert  PriorityQueue:print  PriorityQueue:getPriority  PriorityQueue:insert  PriorityQueue:print  PriorityQueue:getPriority  PriorityQueue:insert  PriorityQueue:print  PriorityQueue:getPriority  PriorityQueue:insert  PriorityQueue:print  PriorityQueue:getMax  PriorityQueue:print],2
getPriority - [int] - int - [],2
toString - [] - java.lang.String - [queuemanager.Person:getName],0
toString - [] - java.lang.String - [queuemanager.PriorityItem:getItem  queuemanager.PriorityItem:getPriority],0
derivePriority - [java.lang.String] - int - [java.lang.String:lastIndexOf  java.lang.String:substring],2
main - [java.lang.String[]] - void - [java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:print  java.util.Scanner:nextLine  java.lang.String:toLowerCase  java.lang.String:hashCode  java.lang.String:equals  java.lang.String:equals  java.lang.String:equals  java.lang.String:equals  java.lang.String:equals  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:print  java.util.Scanner:nextLine  java.lang.String:toLowerCase  java.lang.String:equals  java.lang.String:toLowerCase  java.lang.String:charAt  java.lang.String:lastIndexOf  java.lang.String:substring  queuemanager.Person:getName  java.io.PrintStream:println  java.io.PrintStream:println  java.lang.String:toLowerCase  java.lang.String:charAt  queuemanager.Person:getName  java.io.PrintStream:println  java.io.PrintStream:println  java.lang.String:toLowerCase  java.lang.String:charAt  queuemanager.Person:getName  java.io.PrintStream:println  java.io.PrintStream:println  java.lang.String:toLowerCase  java.lang.String:charAt  java.io.PrintStream:println  java.io.PrintStream:println  java.lang.String:toLowerCase  java.lang.String:charAt  java.io.PrintStream:println  java.io.PrintStream:print  java.util.Scanner:nextLine  java.io.PrintStream:println],0
head - [] - java.lang.Object - [queuemanager.SortedArrayPriorityQueue:isEmpty  queuemanager.PriorityItem:getItem],0
add - [java.lang.Object  int] - void - [queuemanager.PriorityItem:getPriority],3
remove - [] - void - [queuemanager.SortedArrayPriorityQueue:isEmpty],0
dequeue - [] - java.lang.Object - [java.util.ArrayList:remove],0
size - [] - int - [java.util.ArrayList:size],0
enqueue - [java.lang.Object  int] - void - [java.util.ArrayList:add],3
enqueue - [java.lang.Object  int] - void - [Node:setElm  Node:setPriority  java.util.LinkedList:add],3
size - [] - int - [java.util.LinkedList:size],0
dequeue - [] - java.lang.Object - [java.util.LinkedList:removeFirst  Node:getElm],0
setPriority - [int] - void - [Node:getPriority],2
compareTo - [Q] - int - [Q:getPriority  Node:compareTo],0
compareTo - [Q] - int - [Q:getPriority  Q:compareTo],0
dequeue - [] - java.lang.Object - [Q:getPriority  Q:getPriority  Q:getPriority  java.lang.Integer:intValue  Q:getElm],0
enqueue - [java.lang.Object  int] - void - [Q:setElm  Q:setPriority  Q:setIndex  SortedArrayPriorityQueue:doubleQ  SortedArrayPriorityQueue:doubleE  SortedArrayPriorityQueue:enqueue],3
sort - [] - void - [SortedArrayPriorityQueue:elmRipper],0
elmRipper - [Q[]] - void - [Q:getElm],0
vailidateStructure - [java.lang.Class  int] - void - [java.lang.Class:newInstance  java.lang.Class:newInstance  lib.SamplePQueue:enqueue  java.lang.Integer:intValue  lib.SamplePQueue:dequeue  java.lang.Integer:intValue  java.lang.StringBuilder:append  java.lang.Class:getName  java.lang.StringBuilder:append  java.lang.StringBuilder:toString],0
timeStructure - [java.lang.Class  int  int  int] - org.jfree.data.xy.XYDataset - [java.lang.Class:newInstance  java.lang.Class:getName  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.lang.Class:getName  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.lang.Class:newInstance  org.jfree.data.xy.XYSeries:add  org.jfree.data.xy.XYSeries:add  org.jfree.data.xy.XYSeriesCollection:addSeries  org.jfree.data.xy.XYSeriesCollection:addSeries  java.util.ArrayList:add  java.util.ArrayList:add],0
<init> - [java.lang.Class  int  int  int] - void - [java.lang.Class:getName  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  org.jfree.chart.ChartPanel:setPreferredSize  org.jfree.chart.JFreeChart:getXYPlot  org.jfree.chart.renderer.xy.XYLineAndShapeRenderer:setSeriesPaint  org.jfree.chart.renderer.xy.XYLineAndShapeRenderer:setSeriesPaint  org.jfree.chart.renderer.xy.XYLineAndShapeRenderer:setSeriesPaint  org.jfree.chart.renderer.xy.XYLineAndShapeRenderer:setSeriesStroke  org.jfree.chart.renderer.xy.XYLineAndShapeRenderer:setSeriesStroke  org.jfree.chart.renderer.xy.XYLineAndShapeRenderer:setSeriesStroke  org.jfree.chart.plot.XYPlot:setRenderer  Tester:setContentPane  Tester:pack  Tester:setVisible],0
dequeue - [] - java.lang.Object - [java.lang.Integer:intValue  java.lang.Integer:intValue  java.lang.Integer:intValue  java.lang.Integer:intValue],0
enqueue - [java.lang.Object  int] - void - [UnsortedArrayPriorityQueue:doubleQ  UnsortedArrayPriorityQueue:doublePri],3
size - [] - int - [java.io.PrintStream:println],0
<init> - [] - void - [java.lang.Integer:intValue],0
<init> - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueue:getQueue  com.aspect.workorder.model.datarepository.DataRepository:setQueue  java.lang.Integer:intValue  com.aspect.workorder.model.datarepository.DataRepository:setServiceRequestsMap],0
enque - [com.aspect.workorder.model.servicerequest.ServiceRequest] - java.lang.Boolean - [com.aspect.workorder.model.datarepository.DataRepository:getServiceRequestsMap  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequesterId  java.lang.Long:toString  java.util.HashMap:containsKey  com.aspect.workorder.model.datarepository.DataRepository:getQueue  java.util.concurrent.PriorityBlockingQueue:add  com.aspect.workorder.model.datarepository.DataRepository:getServiceRequestsMap  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequesterId  java.lang.Long:toString  java.util.HashMap:put],3
deque - [] - java.util.Optional - [com.aspect.workorder.model.datarepository.DataRepository:getQueue  java.util.concurrent.PriorityBlockingQueue:poll  com.aspect.workorder.model.datarepository.DataRepository:getServiceRequestsMap  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequesterId  java.lang.Long:toString  java.util.HashMap:remove],0
remove - [java.lang.Long] - java.lang.Boolean - [com.aspect.workorder.model.datarepository.DataRepository:getServiceRequestsMap  java.lang.Long:toString  java.util.HashMap:get  com.aspect.workorder.model.datarepository.DataRepository:getQueue  java.util.concurrent.PriorityBlockingQueue:remove  com.aspect.workorder.model.datarepository.DataRepository:getServiceRequestsMap  java.lang.Long:toString  java.util.HashMap:remove],0
getQueue - [] - java.util.List - [com.aspect.workorder.model.datarepository.DataRepository:getQueue  java.util.concurrent.PriorityBlockingQueue:drainTo],0
getServiceRequestByIdMap - [] - java.util.Map - [com.aspect.workorder.model.datarepository.DataRepository:getServiceRequestsMap],0
getRequest - [java.lang.Long  java.lang.Long] - com.aspect.workorder.model.servicerequest.ServiceRequest - [java.lang.Long:longValue  com.aspect.workorder.utility.RequestType:getRank],1
assignRequestType - [java.lang.Long] - com.aspect.workorder.utility.RequestType - [java.lang.Long:longValue  java.lang.Long:longValue  java.lang.Boolean:booleanValue  java.lang.Boolean:booleanValue  java.lang.Boolean:booleanValue  java.lang.Boolean:booleanValue],0
getRank - [] - java.lang.Long - [com.aspect.workorder.model.servicerequest.ManagementServiceRequest:getTimeOfRequest  java.lang.Long:longValue],2
getRank - [] - java.lang.Long - [com.aspect.workorder.model.servicerequest.NormalServiceRequest:getTimeOfRequest  java.lang.Long:longValue],2
getRank - [] - java.lang.Long - [com.aspect.workorder.model.servicerequest.PriorityServiceRequest:getTimeOfRequest  java.lang.Long:longValue  java.lang.Long:longValue  java.lang.Long:longValue],2
compareTo - [com.aspect.workorder.model.servicerequest.ServiceRequest] - int - [com.aspect.workorder.model.servicerequest.ServiceRequest:getRequestType  com.aspect.workorder.utility.RequestType:getRank  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequestType  com.aspect.workorder.utility.RequestType:getRank  com.aspect.workorder.model.servicerequest.ServiceRequest:compareTo],0
getRank - [] - java.lang.Long - [com.aspect.workorder.model.servicerequest.VIPServiceRequest:getTimeOfRequest  java.lang.Long:longValue  java.lang.Long:longValue  java.lang.Long:longValue],2
addOrder - [com.aspect.workorder.model.request.ordergiftrequest.WorkOrderRequest] - org.springframework.http.ResponseEntity - [com.aspect.workorder.model.request.ordergiftrequest.WorkOrderRequest:getRequesterId  com.aspect.workorder.model.request.ordergiftrequest.WorkOrderRequest:getTimeOfRequest  com.aspect.workorder.services.WorkOrderServiceImpl:addOrder  java.lang.Boolean:booleanValue  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setSuccess  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setMessage  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setMessage  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:getMessage],0
removeNextOrder - [] - org.springframework.http.ResponseEntity - [com.aspect.workorder.services.WorkOrderServiceImpl:removeNextOrder  java.lang.Long:longValue  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setRequesterID  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setSuccess  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setMessage  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:getMessage],0
getOrderList - [] - org.springframework.http.ResponseEntity - [com.aspect.workorder.services.WorkOrderServiceImpl:getOrderList  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setSuccess  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setQueue  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setMessage  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:getMessage],0
remove - [java.lang.Long] - org.springframework.http.ResponseEntity - [com.aspect.workorder.services.WorkOrderServiceImpl:remove  java.lang.Long:toString  java.lang.Long:toString  java.lang.String:equals  java.lang.Long:toString],0
getPosition - [java.lang.Long] - org.springframework.http.ResponseEntity - [com.aspect.workorder.services.WorkOrderServiceImpl:getPosition  java.lang.Integer:intValue  java.lang.Integer:intValue  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setPosition  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setSuccess],0
avgWaitTime - [java.lang.Long] - org.springframework.http.ResponseEntity - [java.lang.Long:longValue  com.aspect.workorder.services.WorkOrderServiceImpl:avgWaitTime  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setSuccess  java.text.DecimalFormat:format  com.aspect.workorder.model.response.ordergiftresponse.WorkOrderResponse:setAvgTime],0
addOrder - [java.lang.Long  java.lang.Long] - java.lang.Boolean - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:enque  java.lang.Boolean:booleanValue],0
removeNextOrder - [] - java.lang.Long - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:deque  java.util.Optional:isPresent  java.util.Optional:get  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequesterId],0
getOrderList - [] - java.util.List - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getQueue],0
remove - [java.lang.Long] - java.lang.Long - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:remove  java.lang.Boolean:booleanValue  java.lang.Long:longValue],0
getPosition - [java.lang.Long] - java.lang.Integer - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getQueue  com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getServiceRequestByIdMap  java.lang.Long:toString],0
avgWaitTime - [java.lang.Long] - java.lang.Double - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getQueue  java.util.LongSummaryStatistics:getAverage],0
lambda$avgWaitTime$2 - [java.lang.Long] - long - [java.lang.Long:longValue],0
lambda$avgWaitTime$1 - [java.util.List  java.lang.Long  com.aspect.workorder.model.servicerequest.ServiceRequest] - void - [java.lang.Long:longValue  com.aspect.workorder.model.servicerequest.ServiceRequest:getTimeOfRequest  java.lang.Long:longValue],0
lambda$getOrderList$0 - [com.aspect.workorder.model.servicerequest.ServiceRequest] - java.lang.Long - [com.aspect.workorder.model.servicerequest.ServiceRequest:getRequesterId],0
handleMethodArgumentNotValid - [org.springframework.web.bind.MethodArgumentNotValidException  org.springframework.http.HttpHeaders  org.springframework.http.HttpStatus  org.springframework.web.context.request.WebRequest] - org.springframework.http.ResponseEntity - [org.springframework.web.bind.MethodArgumentNotValidException:getBindingResult  org.springframework.validation.FieldError:getField  java.lang.StringBuilder:append  java.lang.StringBuilder:append  org.springframework.web.bind.MethodArgumentNotValidException:getBindingResult  org.springframework.validation.FieldError:getDefaultMessage  java.lang.StringBuilder:append  java.lang.StringBuilder:toString],0
compare - [com.aspect.workorder.model.servicerequest.ServiceRequest  com.aspect.workorder.model.servicerequest.ServiceRequest] - int - [com.aspect.workorder.model.servicerequest.ServiceRequest:getRequestType  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequestType  com.aspect.workorder.model.servicerequest.ServiceRequest:getRank  com.aspect.workorder.model.servicerequest.ServiceRequest:getRank  com.aspect.workorder.model.servicerequest.ServiceRequest:getTimeOfRequest  java.lang.Long:longValue  com.aspect.workorder.model.servicerequest.ServiceRequest:getTimeOfRequest  java.lang.Long:longValue  java.lang.Long:longValue  java.lang.Long:longValue  com.aspect.workorder.utility.RankingComparator:compare],0
values - [] - com.aspect.workorder.utility.RequestType[] - [com.aspect.workorder.utility.RequestType[]:clone],0
test_INITIAL_QUEUE_SIZE - [] - void - [java.lang.Integer:equals],0
test_RESPONSE_HEADER_APP_DIAGNOSTIC - [] - void - [java.lang.String:equals],0
test_CONTENT_TYPE_APPLICATION_JSON - [] - void - [java.lang.String:equals],0
test_RESOURCE_PATH_WORK_ORDER - [] - void - [java.lang.String:equals],0
test_WORK_ORDER_OPR_AVG_WAIT_TIME - [] - void - [java.lang.String:equals],0
test_WORK_ORDER_OPR_GET_POSITION - [] - void - [java.lang.String:equals],0
test_WORK_ORDER_OPR_REMOVE - [] - void - [java.lang.String:equals],0
test_WORK_ORDER_OPR_GET_ORDER_LIST - [] - void - [java.lang.String:equals],0
test_WORK_ORDER_OPR_REMOVE_NEXT_ORDER - [] - void - [java.lang.String:equals],0
test_WORK_ORDER_OPR_ADD_ORDER - [] - void - [java.lang.String:equals],0
test_MSG_REQUEST_WAS_NOT_ADDED_IN_THE_QUEUE - [] - void - [java.lang.String:equals],0
test_MSG_REQUEST_WAS_ADDED_IN_THE_QUEUE - [] - void - [java.lang.String:equals],0
test_MSG_THE_QUEUE_IS_EMPTY - [] - void - [java.lang.String:equals],0
test_MSG_NO_REQUEST_WAS_FOUND_FOR_ID - [] - void - [java.lang.String:equals],0
test_MSG_DEQUEUED_REQUEST_WITH_REQUESTER_ID - [] - void - [java.lang.String:equals],0
test_ERR_MSG_REQUESTER_ID_CAN_NOT_BE_NULL - [] - void - [java.lang.String:equals],0
test_ERR_MSG_REQUESTER_ID_CAN_HAVE_MAXIMUM_19_DIGITS_AND_NO_DECIMALS - [] - void - [java.lang.String:equals],0
test_ERR_MSG_TIME_OF_REQUEST_CAN_NOT_BE_NULL - [] - void - [java.lang.String:equals],0
test_ERR_MSG_TIME_OF_REQUEST_CAN_HAVE_MAXIMUM_19_DIGITS_AND_NO_DECIMALS - [] - void - [java.lang.String:equals],0
test_ERR_MSG_PROVIDE_A_VALID_NUMERIC_ARGUMENT_FOR_REQUESTER_ID - [] - void - [java.lang.String:equals],0
test_ERR_MSG_PROVIDE_A_VALID_NUMERIC_ARGUMENT_FOR_TIME_OF_REQUEST - [] - void - [java.lang.String:equals],0
<clinit> - [] - void - [java.lang.Class:desiredAssertionStatus],0
testServiceRequestDAO - [] - void - [org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.ProxyableObjectAssert:as  org.assertj.core.api.ProxyableObjectAssert:isNotNull  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.ProxyableObjectAssert:as  org.assertj.core.api.ProxyableObjectAssert:isInstanceOf  com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getServiceRequestByIdMap  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.ProxyableMapAssert:as  org.assertj.core.api.ProxyableMapAssert:isInstanceOf  org.assertj.core.api.SoftAssertions:assertAll],0
testEnque - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:enque  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.BooleanAssert:as  org.assertj.core.api.BooleanAssert:isTrue  org.assertj.core.api.SoftAssertions:assertAll],0
testDeque_whenQueueIsEmpty - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getQueue  com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:deque  java.util.Optional:isPresent  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.BooleanAssert:as  org.assertj.core.api.BooleanAssert:isFalse  org.assertj.core.api.SoftAssertions:assertAll],0
testDeque_whenQueueIsNotEmpty - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:enque  com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:deque  java.util.Optional:isPresent  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.BooleanAssert:as  org.assertj.core.api.BooleanAssert:isTrue  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.OptionalAssert:as  org.assertj.core.api.OptionalAssert:isInstanceOf  java.util.Optional:get  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.AbstractComparableAssert:as  org.assertj.core.api.AbstractComparableAssert:isInstanceOf  java.util.Optional:get  com.aspect.workorder.model.servicerequest.ServiceRequest:getRequesterId  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.LongAssert:as  org.assertj.core.api.LongAssert:isInstanceOf  org.assertj.core.api.SoftAssertions:assertAll],0
testRemove - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:enque  com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:remove  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.BooleanAssert:as  org.assertj.core.api.BooleanAssert:isTrue  org.assertj.core.api.SoftAssertions:assertAll],0
testRemove_requestNotPresentInQueue - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:remove  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.BooleanAssert:as  org.assertj.core.api.BooleanAssert:isFalse  org.assertj.core.api.SoftAssertions:assertAll],0
testGetQueue - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:enque  com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getQueue  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.ProxyableListAssert:as  org.assertj.core.api.ProxyableListAssert:isInstanceOf  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.IntegerAssert:as  org.assertj.core.api.IntegerAssert:isGreaterThan  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.AbstractComparableAssert:as  org.assertj.core.api.AbstractComparableAssert:isInstanceOf  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.BooleanAssert:as  org.assertj.core.api.BooleanAssert:isTrue  org.assertj.core.api.SoftAssertions:assertAll],0
testGetServiceRequestByIdMap - [] - void - [com.aspect.workorder.dao.RankedServiceRequestQueueDAOImpl:getServiceRequestByIdMap  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.ProxyableMapAssert:as  org.assertj.core.api.ProxyableMapAssert:isNotNull  org.assertj.core.api.SoftAssertions:assertThat  org.assertj.core.api.ProxyableMapAssert:as  org.assertj.core.api.ProxyableMapAssert:isInstanceOf  org.assertj.core.api.SoftAssertions:assertAll],0
